No,FieldIndex,Explanation,Piece,TargetYN,Except1,Except2,ListYN,IsLeaf,SourceType,IsEnum,Title,Description,Rules,Depth,L1,L2,L3,L4,L5,L6,L7,Idx,Type
186,protocolSection.referencesModule.availIpds,,AvailIPD,N,,,Y,N,STRUCT,N,Available IPD Information,The individual participant data (IPD) sets and supporting information that are being shared for the study.,EA does not have this data element,3,protocolSection,referencesModule,availIpds,,,,,1.1.1,STRUCT (max 30 chars) - AvailIpd[]
187,protocolSection.referencesModule.availIpds.id,,AvailIPDId,N,,,N,Y,TEXT,N,Available IPD ID,,"EA does not have this data element. Types are stored as character strings, including user-specified other type (max 254 characters)",4,protocolSection,referencesModule,availIpds,id,,,,1.1.1.1,TEXT (max 254 chars) - text
188,protocolSection.referencesModule.availIpds.type,,AvailIPDType,N,,,N,Y,TEXT,N,Available IPD Type,,For INT/OBS. EA does not have this data element,4,protocolSection,referencesModule,availIpds,type,,,,1.1.1.1,TEXT (max 3999 chars) - text
189,protocolSection.referencesModule.availIpds.url,,AvailIPDURL,N,,,N,Y,TEXT,N,Available IPD URL,,For INT/OBS. EA does not have this data element,4,protocolSection,referencesModule,availIpds,url,,,,1.1.1.1,TEXT (max 1000 chars) - text
190,protocolSection.referencesModule.availIpds.comment,,AvailIPDComment,N,,,N,Y,MARKUP,N,Available IPD Comment,,For INT/OBS. EA does not have this data element,4,protocolSection,referencesModule,availIpds,comment,,,,1.1.1.1,MARKUP - markup
191,protocolSection.ipdSharingStatementModule,,IPDSharingStatementModule,N,,,N,N,STRUCT,N,IPDSharing Statement Module,,For INT/OBS. EA does not have this data element,2,protocolSection,ipdSharingStatementModule,,,,,,1.1,STRUCT - IpdSharingStatementModule
192,protocolSection.ipdSharingStatementModule.ipdSharing,,IPDSharing,N,,,N,Y,TEXT,Y,Plan to Share IPD,,For INT/OBS. EA does not have this data element,3,protocolSection,ipdSharingStatementModule,ipdSharing,,,,,1.1.1,TEXT (max 1000 chars) - IpdSharing
193,protocolSection.ipdSharingStatementModule.description,,IPDSharingDescription,N,,,N,Y,MARKUP,N,IPD Sharing Description,,For INT/OBS. EA does not have this data element,3,protocolSection,ipdSharingStatementModule,description,,,,,1.1.1,MARKUP - markup
194,protocolSection.ipdSharingStatementModule.infoTypes,,IPDSharingInfoType,N,,,Y,Y,TEXT,Y,IPDSharing Info Type,,,3,protocolSection,ipdSharingStatementModule,infoTypes,,,,,1.1.1,TEXT - IpdSharingInfoType[]
195,protocolSection.ipdSharingStatementModule.timeFrame,,IPDSharingTimeFrame,N,,,N,Y,MARKUP,N,IPDSharing Time Frame,,For INT/OBS. EA does not have this data element,3,protocolSection,ipdSharingStatementModule,timeFrame,,,,,1.1.1,MARKUP (max 1000 chars) - markup
196,protocolSection.ipdSharingStatementModule.accessCriteria,,IPDSharingAccessCriteria,N,,,N,Y,MARKUP,N,IPDSharing Access Criteria,,For INT/OBS. EA does not have this data element,3,protocolSection,ipdSharingStatementModule,accessCriteria,,,,,1.1.1,MARKUP (max 3999 chars) - markup
197,protocolSection.ipdSharingStatementModule.url,,IPDSharingURL,N,,,N,Y,TEXT,N,IPD Sharing URL,,,3,protocolSection,ipdSharingStatementModule,url,,,,,1.1.1,TEXT - text
198,resultsSection,,ResultsSection,N,,,N,N,STRUCT,N,Study Results,,,1,resultsSection,,,,,,,198,STRUCT - ResultsSection
199,resultsSection.participantFlowModule,,ParticipantFlowModule,N,,,N,N,STRUCT,N,Participant Flow Module,,Conditionally Required,2,resultsSection,participantFlowModule,,,,,,198.1,STRUCT (max 500 chars) - ParticipantFlowModule
200,resultsSection.participantFlowModule.preAssignmentDetails,,FlowPreAssignmentDetails,N,,,N,Y,MARKUP,N,Pre-assignment Details,,,3,resultsSection,participantFlowModule,preAssignmentDetails,,,,,198.1.1,MARKUP (max 500 chars) - markup
201,resultsSection.participantFlowModule.recruitmentDetails,,FlowRecruitmentDetails,N,,,N,Y,MARKUP,N,Recruitment Details,,Conditionally Required,3,resultsSection,participantFlowModule,recruitmentDetails,,,,,198.1.1,MARKUP (max 40 chars) - markup
202,resultsSection.participantFlowModule.typeUnitsAnalyzed,,FlowTypeUnitsAnalyzed,N,,,N,Y,TEXT,N,Type of Unit Analyzed,,Required,3,resultsSection,participantFlowModule,typeUnitsAnalyzed,,,,,198.1.1,TEXT - text
203,resultsSection.participantFlowModule.groups,,FlowGroup,N,,,Y,N,STRUCT,N,Arm/Group Information,,system generated,3,resultsSection,participantFlowModule,groups,,,,,198.1.1,STRUCT - FlowGroup[]
204,resultsSection.participantFlowModule.groups.id,,FlowGroupId,N,,,N,Y,TEXT,N,Arm/Group ID,Arm/Group ID generated by PRS,Required,4,resultsSection,participantFlowModule,groups,id,,,,198.1.1.1,TEXT - text
205,resultsSection.participantFlowModule.groups.title,,FlowGroupTitle,N,,,N,Y,TEXT,N,Arm/Group Title,,"Required if Primary Completion Date is on or after January 18, 2017",4,resultsSection,participantFlowModule,groups,title,,,,198.1.1.1,TEXT (max 1500 chars) - text
206,resultsSection.participantFlowModule.groups.description,,FlowGroupDescription,N,,,N,Y,MARKUP,N,Arm/Group Description,,system generated,4,resultsSection,participantFlowModule,groups,description,,,,198.1.1.1,MARKUP - markup
207,resultsSection.participantFlowModule.periods,,FlowPeriod,N,,,Y,N,STRUCT,N,Period,,Required,3,resultsSection,participantFlowModule,periods,,,,,198.1.1,STRUCT (max 40 chars) - FlowPeriod[]
208,resultsSection.participantFlowModule.periods.title,,FlowPeriodTitle,N,,,N,Y,TEXT,N,Period Title,,"Required for Milestones ""Started"" and ""Completed""",4,resultsSection,participantFlowModule,periods,title,,,,198.1.1.1,TEXT - text
209,resultsSection.participantFlowModule.periods.milestones,,FlowMilestone,N,,,Y,N,STRUCT,N,Milestone,,,4,resultsSection,participantFlowModule,periods,milestones,,,,198.1.1.1,STRUCT (max 100 chars) - FlowMilestone[]
210,resultsSection.participantFlowModule.periods.milestones.type,,FlowMilestoneType,N,,,N,Y,TEXT,N,Milestone Title,,,5,resultsSection,participantFlowModule,periods,milestones,type,,,198.1.1.1.1,TEXT (max 500 chars) - text
211,resultsSection.participantFlowModule.periods.milestones.comment,,FlowMilestoneComment,N,,,N,Y,MARKUP,N,Milestone Comment,,,5,resultsSection,participantFlowModule,periods,milestones,comment,,,198.1.1.1.1,MARKUP - markup
212,resultsSection.participantFlowModule.periods.milestones.achievements,,FlowAchievement,N,,,Y,N,STRUCT,N,Milestone Data,Milestone Data (per arm/group),system generated,5,resultsSection,participantFlowModule,periods,milestones,achievements,,,198.1.1.1.1,STRUCT - FlowStats[]
213,resultsSection.participantFlowModule.periods.milestones.achievements.groupId,,FlowAchievementGroupId,N,,,N,Y,TEXT,N,Milestone Arm/Group ID,ID,,6,resultsSection,participantFlowModule,periods,milestones,achievements,groupId,,198.1.1.1.1.1,TEXT (max 500 chars) - text
214,resultsSection.participantFlowModule.periods.milestones.achievements.comment,,FlowAchievementComment,N,,,N,Y,MARKUP,N,Milestone Arm/Group Comment,,Conditionally Required,6,resultsSection,participantFlowModule,periods,milestones,achievements,comment,,198.1.1.1.1.1,MARKUP - markup
215,resultsSection.participantFlowModule.periods.milestones.achievements.numSubjects,,FlowAchievementNumSubjects,N,,,N,Y,TEXT,N,Number of Milestone Arm/Group Participants,,Conditionally Required,6,resultsSection,participantFlowModule,periods,milestones,achievements,numSubjects,,198.1.1.1.1.1,TEXT - text
216,resultsSection.participantFlowModule.periods.milestones.achievements.numUnits,,FlowAchievementNumUnits,N,,,N,Y,TEXT,N,Number of Units,,system generated,6,resultsSection,participantFlowModule,periods,milestones,achievements,numUnits,,198.1.1.1.1.1,TEXT - text
217,resultsSection.participantFlowModule.periods.dropWithdraws,,FlowDropWithdraw,N,,,Y,N,STRUCT,N,Reason Not Completed,,Conditionally Required,4,resultsSection,participantFlowModule,periods,dropWithdraws,,,,198.1.1.1,STRUCT (max 100 chars) - DropWithdraw[]
218,resultsSection.participantFlowModule.periods.dropWithdraws.type,,FlowDropWithdrawType,N,,,N,Y,TEXT,N,Reason Not Completed Type,,Conditionally Required,5,resultsSection,participantFlowModule,periods,dropWithdraws,type,,,198.1.1.1.1,TEXT (max 100 chars) - text
219,resultsSection.participantFlowModule.periods.dropWithdraws.comment,,FlowDropWithdrawComment,N,,,N,Y,MARKUP,N,Description of Reason Not Completed,"A brief description of the reason for non-completion, if ""Other"" Reason Not Completed Type is selected.",,5,resultsSection,participantFlowModule,periods,dropWithdraws,comment,,,198.1.1.1.1,MARKUP - markup
220,resultsSection.participantFlowModule.periods.dropWithdraws.reasons,,FlowReason,N,,,Y,N,STRUCT,N,,Reason for Not Completed per arm/group,system generated,5,resultsSection,participantFlowModule,periods,dropWithdraws,reasons,,,198.1.1.1.1,STRUCT - FlowStats[]
221,resultsSection.participantFlowModule.periods.dropWithdraws.reasons.groupId,,FlowReasonGroupId,N,,,N,Y,TEXT,N,Reason Group ID,Internally generated ID for reason not completed per arm/group,not used,6,resultsSection,participantFlowModule,periods,dropWithdraws,reasons,groupId,,198.1.1.1.1.1,TEXT - text
222,resultsSection.participantFlowModule.periods.dropWithdraws.reasons.comment,,FlowReasonComment,N,,,N,Y,MARKUP,N,,,Conditionally Required,6,resultsSection,participantFlowModule,periods,dropWithdraws,reasons,comment,,198.1.1.1.1.1,MARKUP - markup
223,resultsSection.participantFlowModule.periods.dropWithdraws.reasons.numSubjects,,FlowReasonNumSubjects,N,,,N,Y,TEXT,N,Reason Group Number of Subjects,,Conditionally Required,6,resultsSection,participantFlowModule,periods,dropWithdraws,reasons,numSubjects,,198.1.1.1.1.1,TEXT - text
224,resultsSection.baselineCharacteristicsModule,Container for baseline demographics/initial measures by arm/group.,BaselineCharacteristicsModule,N,,,N,N,STRUCT,N,Baseline Measure Module,,Conditionally Required,2,resultsSection,baselineCharacteristicsModule,,,,,,198.1,STRUCT (max 500 chars) - BaselineCharacteristicsModule
225,resultsSection.baselineCharacteristicsModule.populationDescription,Free-text description providing details/context.,BaselinePopulationDescription,N,,,N,Y,MARKUP,N,Baseline Analysis Population Description,,Conditionally Required,3,resultsSection,baselineCharacteristicsModule,populationDescription,,,,,198.1.1,MARKUP (max 40 chars) - markup
226,resultsSection.baselineCharacteristicsModule.typeUnitsAnalyzed,Container or field used by the reporting schema; see child elements for specifics.,BaselineTypeUnitsAnalyzed,N,,,N,Y,TEXT,N,Type of Units Analyzed,,Required,3,resultsSection,baselineCharacteristicsModule,typeUnitsAnalyzed,,,,,198.1.1,TEXT - text
227,resultsSection.baselineCharacteristicsModule.groups,"An arm/group used in baseline tables (e.g., Placebo, Treatment A, Total).",BaselineGroup,N,,,Y,N,STRUCT,N,Arm/Group Information,,system generated,3,resultsSection,baselineCharacteristicsModule,groups,,,,,198.1.1,STRUCT - MeasureGroup[]
228,resultsSection.baselineCharacteristicsModule.groups.id,"Identifier for a baseline group (e.g., BG000).",BaselineGroupId,N,,,N,Y,TEXT,N,Arm/Group ID,Internally generated ID,Required,4,resultsSection,baselineCharacteristicsModule,groups,id,,,,198.1.1.1,TEXT - text
229,resultsSection.baselineCharacteristicsModule.groups.title,Short name of the baseline group.,BaselineGroupTitle,N,,,N,Y,TEXT,N,Arm/Group Title,,"Required if Primary Completion Date is on or after January 18, 2017",4,resultsSection,baselineCharacteristicsModule,groups,title,,,,198.1.1.1,TEXT (max 1500 chars) - text
230,resultsSection.baselineCharacteristicsModule.groups.description,Text describing the baseline group or its intervention.,BaselineGroupDescription,N,,,N,Y,MARKUP,N,Arm/Group Description,,internally calculated,4,resultsSection,baselineCharacteristicsModule,groups,description,,,,198.1.1.1,MARKUP - markup
231,resultsSection.baselineCharacteristicsModule.denoms,A denominator row with a unit and per‑group counts.,BaselineDenom,N,,,Y,N,STRUCT,N,,Structure for Overall Baseline Measure Data (Row),Required,3,resultsSection,baselineCharacteristicsModule,denoms,,,,,198.1.1,STRUCT (max 40 chars) - Denom[]
232,resultsSection.baselineCharacteristicsModule.denoms.units,Unit for the denominator (default: Participants).,BaselineDenomUnits,N,,,N,Y,TEXT,N,Overall Number of Units Analyzed,,,4,resultsSection,baselineCharacteristicsModule,denoms,units,,,,198.1.1.1,TEXT - text
233,resultsSection.baselineCharacteristicsModule.denoms.counts,Container for one group’s denominator count.,BaselineDenomCount,N,,,Y,N,STRUCT,N,,Structure for overall number per arm/group,,4,resultsSection,baselineCharacteristicsModule,denoms,counts,,,,198.1.1.1,STRUCT - DenomCount[]
234,resultsSection.baselineCharacteristicsModule.denoms.counts.groupId,Group ID that this denominator count refers to.,BaselineDenomCountGroupId,N,,,N,Y,TEXT,N,Arm/Group ID,Internally generated ID for each Arm/Group,Conditionally Required,5,resultsSection,baselineCharacteristicsModule,denoms,counts,groupId,,,198.1.1.1.1,TEXT - text
235,resultsSection.baselineCharacteristicsModule.denoms.counts.value,Numeric count value for the group in this denominator.,BaselineDenomCountValue,N,,,N,Y,TEXT,N,,,,5,resultsSection,baselineCharacteristicsModule,denoms,counts,value,,,198.1.1.1.1,TEXT - text
236,resultsSection.baselineCharacteristicsModule.measures,"A baseline characteristic (e.g., Age, Sex, Race/Ethnicity).",BaselineMeasure,N,,,Y,N,STRUCT,N,Baseline Measure,,,3,resultsSection,baselineCharacteristicsModule,measures,,,,,198.1.1,STRUCT - BaselineMeasure[]
237,resultsSection.baselineCharacteristicsModule.measures.title,Title/name of the baseline measure.,BaselineMeasureTitle,N,,,N,Y,TEXT,N,Baseline Measure Title,,Conditionally Required,4,resultsSection,baselineCharacteristicsModule,measures,title,,,,198.1.1.1,TEXT (max 100 chars) - text
238,resultsSection.baselineCharacteristicsModule.measures.description,Optional descriptive text for the baseline measure.,BaselineMeasureDescription,N,,,N,Y,MARKUP,N,Baseline Measure Title for Study-Specified Measure,,,4,resultsSection,baselineCharacteristicsModule,measures,description,,,,198.1.1.1,MARKUP (max 600 chars) - markup
239,resultsSection.baselineCharacteristicsModule.measures.populationDescription,"If applicable, describes a sub‑population used for this measure.",BaselineMeasurePopulationDescription,N,,,N,Y,MARKUP,N,Baseline Measure Description,,Required,4,resultsSection,baselineCharacteristicsModule,measures,populationDescription,,,,198.1.1.1,MARKUP - markup
240,resultsSection.baselineCharacteristicsModule.measures.paramType,"Data type/statistic reported (e.g., MEAN, MEDIAN, COUNT_OF_PARTICIPANTS).",BaselineMeasureParamType,N,,,N,Y,TEXT,Y,Baseline Measure Type,,Required,4,resultsSection,baselineCharacteristicsModule,measures,paramType,,,,198.1.1.1,TEXT - MeasureParam
241,resultsSection.baselineCharacteristicsModule.measures.dispersionType,"Precision/dispersion type (e.g., SD, SE, CI).",BaselineMeasureDispersionType,N,,,N,Y,TEXT,Y,Baseline Measure Dispersion/Precision,,Required,4,resultsSection,baselineCharacteristicsModule,measures,dispersionType,,,,198.1.1.1,TEXT (max 40 chars) - MeasureDispersionType
242,resultsSection.baselineCharacteristicsModule.measures.unitOfMeasure,"Unit of the measure (e.g., Participants, years, kg).",BaselineMeasureUnitOfMeasure,N,,,N,Y,TEXT,N,Unit of Measure,,internally calculated,4,resultsSection,baselineCharacteristicsModule,measures,unitOfMeasure,,,,198.1.1.1,TEXT - text
243,resultsSection.baselineCharacteristicsModule.measures.calculatePct,"If true, derive percentages for categories using the matching denominator.",BaselineMeasureCalculatePct,N,,,N,Y,BOOLEAN,N,Calculated Percentage,percentage of BaselineMeasurementValue/BaselineMeasureDenomCountValue,,4,resultsSection,baselineCharacteristicsModule,measures,calculatePct,,,,198.1.1.1,BOOLEAN (max 40 chars) - boolean
244,resultsSection.baselineCharacteristicsModule.measures.denomUnitsSelected,Unit selection indicating which denominator applies to this measure.,BaselineMeasureDenomUnitsSelected,N,,,N,Y,TEXT,N,Type of Units Selected,,,4,resultsSection,baselineCharacteristicsModule,measures,denomUnitsSelected,,,,198.1.1.1,TEXT - text
245,resultsSection.baselineCharacteristicsModule.measures.denoms,Optional denominator override for this measure.,BaselineMeasureDenom,N,,,Y,N,STRUCT,N,,,,4,resultsSection,baselineCharacteristicsModule,measures,denoms,,,,198.1.1.1,STRUCT - Denom[]
246,resultsSection.baselineCharacteristicsModule.measures.denoms.units,Units used by the measure’s denominator.,BaselineMeasureDenomUnits,N,,,N,Y,TEXT,N,Analysis Population Type,,,5,resultsSection,baselineCharacteristicsModule,measures,denoms,units,,,198.1.1.1.1,TEXT - text
247,resultsSection.baselineCharacteristicsModule.measures.denoms.counts,Group‑level denominator count for this measure.,BaselineMeasureDenomCount,N,,,Y,N,STRUCT,N,,number entered for unit of measure,,5,resultsSection,baselineCharacteristicsModule,measures,denoms,counts,,,198.1.1.1.1,STRUCT - DenomCount[]
248,resultsSection.baselineCharacteristicsModule.measures.denoms.counts.groupId,Identifier string for this element.,BaselineMeasureDenomCountGroupId,N,,,N,Y,TEXT,N,,Internally generated ID for each Arm/Group,,6,resultsSection,baselineCharacteristicsModule,measures,denoms,counts,groupId,,198.1.1.1.1.1,TEXT - text
249,resultsSection.baselineCharacteristicsModule.measures.denoms.counts.value,Numeric value associated with this element.,BaselineMeasureDenomCountValue,N,,,N,Y,TEXT,N,,,internally calculated,6,resultsSection,baselineCharacteristicsModule,measures,denoms,counts,value,,198.1.1.1.1.1,TEXT - text
250,resultsSection.baselineCharacteristicsModule.measures.classes,"A logical row grouping within a measure (e.g., 'Sex').",BaselineClass,N,,,Y,N,STRUCT,N,,Structure for a Baseline Measure ROW,Required if there is more than one row category,4,resultsSection,baselineCharacteristicsModule,measures,classes,,,,198.1.1.1,STRUCT (max 100 chars) - MeasureClass[]
251,resultsSection.baselineCharacteristicsModule.measures.classes.title,Title for the class/row.,BaselineClassTitle,N,,,N,Y,TEXT,N,Baseline RowTitle,,,5,resultsSection,baselineCharacteristicsModule,measures,classes,title,,,198.1.1.1.1,TEXT - text
252,resultsSection.baselineCharacteristicsModule.measures.classes.denoms,Denominator structure used to compute percentages for this table.,BaselineClassDenom,N,,,Y,N,STRUCT,N,,,Required,5,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,,,198.1.1.1.1,STRUCT (max 40 chars) - Denom[]
253,resultsSection.baselineCharacteristicsModule.measures.classes.denoms.units,Unit label used for counts or measurements.,BaselineClassDenomUnits,N,,,N,Y,TEXT,N,Baseline Row Unit of Measure,"Possible analysis population when data are presented in rows (e.g., if units other than participants are included in baseline, both participants and the units are listed as BaselineClassDenomUnits for the applicable baseline measure)",,6,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,units,,198.1.1.1.1.1,TEXT - text
254,resultsSection.baselineCharacteristicsModule.measures.classes.denoms.counts,Numeric value associated with this element.,BaselineClassDenomCount,N,,,Y,N,STRUCT,N,Number of Baseline Row Participants,Population Analyzed for a Row,,6,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,counts,,198.1.1.1.1.1,STRUCT - DenomCount[]
255,resultsSection.baselineCharacteristicsModule.measures.classes.denoms.counts.groupId,Identifier string for this element.,BaselineClassDenomCountGroupId,N,,,N,Y,TEXT,N,,Internal ID per Arm/Group for a Baseline Measure,,7,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,counts,groupId,198.1.1.1.1.1.1,TEXT - text
256,resultsSection.baselineCharacteristicsModule.measures.classes.denoms.counts.value,Numeric value associated with this element.,BaselineClassDenomCountValue,N,,,N,Y,TEXT,N,,Data per Arm/Group per Baseline Measure per Row,,7,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,counts,value,198.1.1.1.1.1.1,TEXT - text
257,resultsSection.baselineCharacteristicsModule.measures.classes.categories,"A specific category under a class (e.g., Female, Male).",BaselineCategory,N,,,Y,N,STRUCT,N,,Categories under a Baseline Measure (represented as rows in data table),Conditionally Required,5,resultsSection,baselineCharacteristicsModule,measures,classes,categories,,,198.1.1.1.1,STRUCT (max 50 chars) - MeasureCategory[]
258,resultsSection.baselineCharacteristicsModule.measures.classes.categories.title,Title/name of the category.,BaselineCategoryTitle,N,,,N,Y,TEXT,N,Category Title,,Required,6,resultsSection,baselineCharacteristicsModule,measures,classes,categories,title,,198.1.1.1.1.1,TEXT - text
259,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements,One group’s value (and optional spread) for the category.,BaselineMeasurement,N,,,Y,N,STRUCT,N,,Data structure per Arm/Group per Category,,6,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,,198.1.1.1.1.1,STRUCT - Measurement[]
260,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.groupId,Group ID for which the category value applies.,BaselineMeasurementGroupId,N,,,N,Y,TEXT,N,Arm/Group ID,Internal ID per Arm/Group per Category,,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,groupId,198.1.1.1.1.1.1,TEXT - text
261,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.value,Reported value for the group (number or text).,BaselineMeasurementValue,N,,,N,Y,TEXT,N,data,,,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,value,198.1.1.1.1.1.1,TEXT - text
262,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.spread,"Reported spread (e.g., SD or SE) when applicable.",BaselineMeasurementSpread,N,,,N,Y,TEXT,N,data,"Data per Arm/Group per Category. Based on Measure Type and Measure of Dispersion (e.g., Standard Deviation)",,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,spread,198.1.1.1.1.1.1,TEXT - text
263,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.lowerLimit,Reported measurement/value (with optional spread/limits) for a specific group/category.,BaselineMeasurementLowerLimit,N,,,N,Y,TEXT,N,data,"Data per Arm/Group per Category. Based on Measure Type and Measure of Dispersion (e.g., lower limit of Full Range)",,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,lowerLimit,198.1.1.1.1.1.1,TEXT - text
264,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.upperLimit,Reported measurement/value (with optional spread/limits) for a specific group/category.,BaselineMeasurementUpperLimit,N,,,N,Y,TEXT,N,data,"Data per Arm/Group per Category. Based on Measure Type and Measure of Dispersion (e.g., upper limit of Full Range)",Conditionally Required,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,upperLimit,198.1.1.1.1.1.1,TEXT (max 500 chars) - text
265,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.comment,Reported measurement/value (with optional spread/limits) for a specific group/category.,BaselineMeasurementComment,N,,,N,Y,MARKUP,N,Comments for N/A values,"Explain why baseline measure data are not available, if ""NA"" is reported for Baseline Measure Data.",,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,comment,198.1.1.1.1.1.1,MARKUP - markup
266,resultsSection.outcomeMeasuresModule,Container for all outcome measures with results.,OutcomeMeasuresModule,N,,,N,N,STRUCT,N,Outcome Measure Module,,Required,2,resultsSection,outcomeMeasuresModule,,,,,,198.1,STRUCT - OutcomeMeasuresModule
267,resultsSection.outcomeMeasuresModule.outcomeMeasures,"One outcome with title, type, timeframe, unit, and result tables.",OutcomeMeasure,N,,,Y,N,STRUCT,N,Outcome Measure,,Required,3,resultsSection,outcomeMeasuresModule,outcomeMeasures,,,,,198.1.1,STRUCT - OutcomeMeasure[]
268,resultsSection.outcomeMeasuresModule.outcomeMeasures.type,"Outcome pre‑specification level (PRIMARY, SECONDARY, OTHER_PRE_SPECIFIED, POST_HOC).",OutcomeMeasureType,N,,,N,Y,TEXT,Y,Outcome Measure Type,,Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,type,,,,198.1.1.1,TEXT (max 255 chars) - OutcomeMeasureType
269,resultsSection.outcomeMeasuresModule.outcomeMeasures.title,Short title/name of the outcome measure.,OutcomeMeasureTitle,N,,,N,Y,TEXT,N,Outcome Measure title,,Conditionally Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,title,,,,198.1.1.1,TEXT (max 999 chars) - text
270,resultsSection.outcomeMeasuresModule.outcomeMeasures.description,Detailed narrative of what and how was measured.,OutcomeMeasureDescription,N,,,N,Y,MARKUP,N,Outcome Measure Description,,Conditionally Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,description,,,,198.1.1.1,MARKUP (max 500 chars) - markup
271,resultsSection.outcomeMeasuresModule.outcomeMeasures.populationDescription,"If different from overall, describes the analysis population for this outcome.",OutcomeMeasurePopulationDescription,N,,,N,Y,MARKUP,N,Analysis Population Description,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,populationDescription,,,,198.1.1.1,MARKUP - markup
272,resultsSection.outcomeMeasuresModule.outcomeMeasures.reportingStatus,"Indicates whether the outcome has reportable data (e.g., PRESENT/NOT_PRESENT).",OutcomeMeasureReportingStatus,N,,,N,Y,TEXT,Y,Reporting Status,Whether there is Outcome Measure Data reported,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,reportingStatus,,,,198.1.1.1,TEXT - ReportingStatus
273,resultsSection.outcomeMeasuresModule.outcomeMeasures.anticipatedPostingDate,Container or field used by the reporting schema; see child elements for specifics.,OutcomeMeasureAnticipatedPostingDate,N,,,N,Y,DATE,N,Anticipated Reporting Date,,Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,anticipatedPostingDate,,,,198.1.1.1,DATE - PartialDate
274,resultsSection.outcomeMeasuresModule.outcomeMeasures.paramType,"Statistic/data type reported (e.g., MEAN, MEDIAN, COUNT_OF_PARTICIPANTS).",OutcomeMeasureParamType,N,,,N,Y,TEXT,Y,Outcome Measure Data Type,,Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,paramType,,,,198.1.1.1,TEXT - MeasureParam
275,resultsSection.outcomeMeasuresModule.outcomeMeasures.dispersionType,"Precision/dispersion type (e.g., SD, SE, IQR, range, confidence interval).",OutcomeMeasureDispersionType,N,,,N,Y,TEXT,N,Outcome Measure Dispersion/Precision,,Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,dispersionType,,,,198.1.1.1,TEXT (max 40 chars) - text
276,resultsSection.outcomeMeasuresModule.outcomeMeasures.unitOfMeasure,"Unit used to report the outcome (e.g., Participants, mmHg).",OutcomeMeasureUnitOfMeasure,N,,,N,Y,TEXT,N,Unit of Measure,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,unitOfMeasure,,,,198.1.1.1,TEXT - text
277,resultsSection.outcomeMeasuresModule.outcomeMeasures.calculatePct,Container or field used by the reporting schema; see child elements for specifics.,OutcomeMeasureCalculatePct,N,,,N,Y,BOOLEAN,N,Calculated Percentage,percentage of OutcomeMeasurementValue/OutcomeMeasureDenomCountValue (internally calculated),Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,calculatePct,,,,198.1.1.1,BOOLEAN (max 255 chars) - boolean
278,resultsSection.outcomeMeasuresModule.outcomeMeasures.timeFrame,Time point(s)/window when the outcome was assessed.,OutcomeMeasureTimeFrame,N,,,N,Y,TEXT,N,Outcome Measure Time Frame,,Conditionally Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,timeFrame,,,,198.1.1.1,TEXT (max 40 chars) - text
279,resultsSection.outcomeMeasuresModule.outcomeMeasures.typeUnitsAnalyzed,Unit used for analyses when different from display units.,OutcomeMeasureTypeUnitsAnalyzed,N,,,N,Y,TEXT,N,Units Analyzed,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,typeUnitsAnalyzed,,,,198.1.1.1,TEXT - text
280,resultsSection.outcomeMeasuresModule.outcomeMeasures.denomUnitsSelected,Denominator structure used to compute percentages for this table.,OutcomeMeasureDenomUnitsSelected,N,,,N,Y,TEXT,N,,OutcomeMeasureTypeUnitsAnalyzed,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,denomUnitsSelected,,,,198.1.1.1,TEXT - text
