No,FieldIndex,Piece,TargetYN,ListYN,IsLeaf,SourceType,IsEnum,MaxChars,Title,Description,Rules,Depth,L1,L2,L3,L4,L5,L6,L7,Idx,Type
210,resultsSection.participantFlowModule.periods.milestones.type,FlowMilestoneType,N,N,Y,TEXT,N,500,Milestone Title,,,5,resultsSection,participantFlowModule,periods,milestones,type,,,198.1.1.1.1,TEXT (max 500 chars) - text
211,resultsSection.participantFlowModule.periods.milestones.comment,FlowMilestoneComment,N,N,Y,MARKUP,N,,Milestone Comment,,,5,resultsSection,participantFlowModule,periods,milestones,comment,,,198.1.1.1.1,MARKUP - markup
212,resultsSection.participantFlowModule.periods.milestones.achievements,FlowAchievement,N,Y,N,STRUCT,N,,Milestone Data,Milestone Data (per arm/group),system generated,5,resultsSection,participantFlowModule,periods,milestones,achievements,,,198.1.1.1.1,STRUCT - FlowStats[]
213,resultsSection.participantFlowModule.periods.milestones.achievements.groupId,FlowAchievementGroupId,N,N,Y,TEXT,N,500,Milestone Arm/Group ID,ID,,6,resultsSection,participantFlowModule,periods,milestones,achievements,groupId,,198.1.1.1.1.1,TEXT (max 500 chars) - text
214,resultsSection.participantFlowModule.periods.milestones.achievements.comment,FlowAchievementComment,N,N,Y,MARKUP,N,,Milestone Arm/Group Comment,,Conditionally Required,6,resultsSection,participantFlowModule,periods,milestones,achievements,comment,,198.1.1.1.1.1,MARKUP - markup
215,resultsSection.participantFlowModule.periods.milestones.achievements.numSubjects,FlowAchievementNumSubjects,N,N,Y,TEXT,N,,Number of Milestone Arm/Group Participants,,Conditionally Required,6,resultsSection,participantFlowModule,periods,milestones,achievements,numSubjects,,198.1.1.1.1.1,TEXT - text
216,resultsSection.participantFlowModule.periods.milestones.achievements.numUnits,FlowAchievementNumUnits,N,N,Y,TEXT,N,,Number of Units,,system generated,6,resultsSection,participantFlowModule,periods,milestones,achievements,numUnits,,198.1.1.1.1.1,TEXT - text
217,resultsSection.participantFlowModule.periods.dropWithdraws,FlowDropWithdraw,N,Y,N,STRUCT,N,100,Reason Not Completed,,Conditionally Required,4,resultsSection,participantFlowModule,periods,dropWithdraws,,,,198.1.1.1,STRUCT (max 100 chars) - DropWithdraw[]
218,resultsSection.participantFlowModule.periods.dropWithdraws.type,FlowDropWithdrawType,N,N,Y,TEXT,N,100,Reason Not Completed Type,,Conditionally Required,5,resultsSection,participantFlowModule,periods,dropWithdraws,type,,,198.1.1.1.1,TEXT (max 100 chars) - text
219,resultsSection.participantFlowModule.periods.dropWithdraws.comment,FlowDropWithdrawComment,N,N,Y,MARKUP,N,,Description of Reason Not Completed,"A brief description of the reason for non-completion, if ""Other"" Reason Not Completed Type is selected.",,5,resultsSection,participantFlowModule,periods,dropWithdraws,comment,,,198.1.1.1.1,MARKUP - markup
220,resultsSection.participantFlowModule.periods.dropWithdraws.reasons,FlowReason,N,Y,N,STRUCT,N,,,Reason for Not Completed per arm/group,system generated,5,resultsSection,participantFlowModule,periods,dropWithdraws,reasons,,,198.1.1.1.1,STRUCT - FlowStats[]
221,resultsSection.participantFlowModule.periods.dropWithdraws.reasons.groupId,FlowReasonGroupId,N,N,Y,TEXT,N,,Reason Group ID,Internally generated ID for reason not completed per arm/group,not used,6,resultsSection,participantFlowModule,periods,dropWithdraws,reasons,groupId,,198.1.1.1.1.1,TEXT - text
222,resultsSection.participantFlowModule.periods.dropWithdraws.reasons.comment,FlowReasonComment,N,N,Y,MARKUP,N,,,,Conditionally Required,6,resultsSection,participantFlowModule,periods,dropWithdraws,reasons,comment,,198.1.1.1.1.1,MARKUP - markup
223,resultsSection.participantFlowModule.periods.dropWithdraws.reasons.numSubjects,FlowReasonNumSubjects,N,N,Y,TEXT,N,,Reason Group Number of Subjects,,Conditionally Required,6,resultsSection,participantFlowModule,periods,dropWithdraws,reasons,numSubjects,,198.1.1.1.1.1,TEXT - text
224,resultsSection.baselineCharacteristicsModule,BaselineCharacteristicsModule,N,N,N,STRUCT,N,500,Baseline Measure Module,,Conditionally Required,2,resultsSection,baselineCharacteristicsModule,,,,,,198.1,STRUCT (max 500 chars) - BaselineCharacteristicsModule
225,resultsSection.baselineCharacteristicsModule.populationDescription,BaselinePopulationDescription,N,N,Y,MARKUP,N,40,Baseline Analysis Population Description,,Conditionally Required,3,resultsSection,baselineCharacteristicsModule,populationDescription,,,,,198.1.1,MARKUP (max 40 chars) - markup
226,resultsSection.baselineCharacteristicsModule.typeUnitsAnalyzed,BaselineTypeUnitsAnalyzed,N,N,Y,TEXT,N,,Type of Units Analyzed,,Required,3,resultsSection,baselineCharacteristicsModule,typeUnitsAnalyzed,,,,,198.1.1,TEXT - text
227,resultsSection.baselineCharacteristicsModule.groups,BaselineGroup,N,Y,N,STRUCT,N,,Arm/Group Information,,system generated,3,resultsSection,baselineCharacteristicsModule,groups,,,,,198.1.1,STRUCT - MeasureGroup[]
228,resultsSection.baselineCharacteristicsModule.groups.id,BaselineGroupId,N,N,Y,TEXT,N,,Arm/Group ID,Internally generated ID,Required,4,resultsSection,baselineCharacteristicsModule,groups,id,,,,198.1.1.1,TEXT - text
229,resultsSection.baselineCharacteristicsModule.groups.title,BaselineGroupTitle,N,N,Y,TEXT,N,1500,Arm/Group Title,,"Required if Primary Completion Date is on or after January 18, 2017",4,resultsSection,baselineCharacteristicsModule,groups,title,,,,198.1.1.1,TEXT (max 1500 chars) - text
230,resultsSection.baselineCharacteristicsModule.groups.description,BaselineGroupDescription,N,N,Y,MARKUP,N,,Arm/Group Description,,internally calculated,4,resultsSection,baselineCharacteristicsModule,groups,description,,,,198.1.1.1,MARKUP - markup
231,resultsSection.baselineCharacteristicsModule.denoms,BaselineDenom,N,Y,N,STRUCT,N,40,,Structure for Overall Baseline Measure Data (Row),Required,3,resultsSection,baselineCharacteristicsModule,denoms,,,,,198.1.1,STRUCT (max 40 chars) - Denom[]
232,resultsSection.baselineCharacteristicsModule.denoms.units,BaselineDenomUnits,N,N,Y,TEXT,N,,Overall Number of Units Analyzed,,,4,resultsSection,baselineCharacteristicsModule,denoms,units,,,,198.1.1.1,TEXT - text
233,resultsSection.baselineCharacteristicsModule.denoms.counts,BaselineDenomCount,N,Y,N,STRUCT,N,,,Structure for overall number per arm/group,,4,resultsSection,baselineCharacteristicsModule,denoms,counts,,,,198.1.1.1,STRUCT - DenomCount[]
234,resultsSection.baselineCharacteristicsModule.denoms.counts.groupId,BaselineDenomCountGroupId,N,N,Y,TEXT,N,,Arm/Group ID,Internally generated ID for each Arm/Group,Conditionally Required,5,resultsSection,baselineCharacteristicsModule,denoms,counts,groupId,,,198.1.1.1.1,TEXT - text
235,resultsSection.baselineCharacteristicsModule.denoms.counts.value,BaselineDenomCountValue,N,N,Y,TEXT,N,,,,,5,resultsSection,baselineCharacteristicsModule,denoms,counts,value,,,198.1.1.1.1,TEXT - text
236,resultsSection.baselineCharacteristicsModule.measures,BaselineMeasure,N,Y,N,STRUCT,N,,Baseline Measure,,,3,resultsSection,baselineCharacteristicsModule,measures,,,,,198.1.1,STRUCT - BaselineMeasure[]
237,resultsSection.baselineCharacteristicsModule.measures.title,BaselineMeasureTitle,N,N,Y,TEXT,N,100,Baseline Measure Title,,Conditionally Required,4,resultsSection,baselineCharacteristicsModule,measures,title,,,,198.1.1.1,TEXT (max 100 chars) - text
238,resultsSection.baselineCharacteristicsModule.measures.description,BaselineMeasureDescription,N,N,Y,MARKUP,N,600,Baseline Measure Title for Study-Specified Measure,,,4,resultsSection,baselineCharacteristicsModule,measures,description,,,,198.1.1.1,MARKUP (max 600 chars) - markup
239,resultsSection.baselineCharacteristicsModule.measures.populationDescription,BaselineMeasurePopulationDescription,N,N,Y,MARKUP,N,,Baseline Measure Description,,Required,4,resultsSection,baselineCharacteristicsModule,measures,populationDescription,,,,198.1.1.1,MARKUP - markup
240,resultsSection.baselineCharacteristicsModule.measures.paramType,BaselineMeasureParamType,N,N,Y,TEXT,Y,,Baseline Measure Type,,Required,4,resultsSection,baselineCharacteristicsModule,measures,paramType,,,,198.1.1.1,TEXT - MeasureParam
241,resultsSection.baselineCharacteristicsModule.measures.dispersionType,BaselineMeasureDispersionType,N,N,Y,TEXT,Y,40,Baseline Measure Dispersion/Precision,,Required,4,resultsSection,baselineCharacteristicsModule,measures,dispersionType,,,,198.1.1.1,TEXT (max 40 chars) - MeasureDispersionType
242,resultsSection.baselineCharacteristicsModule.measures.unitOfMeasure,BaselineMeasureUnitOfMeasure,N,N,Y,TEXT,N,,Unit of Measure,,internally calculated,4,resultsSection,baselineCharacteristicsModule,measures,unitOfMeasure,,,,198.1.1.1,TEXT - text
243,resultsSection.baselineCharacteristicsModule.measures.calculatePct,BaselineMeasureCalculatePct,N,N,Y,BOOLEAN,N,40,Calculated Percentage,percentage of BaselineMeasurementValue/BaselineMeasureDenomCountValue,,4,resultsSection,baselineCharacteristicsModule,measures,calculatePct,,,,198.1.1.1,BOOLEAN (max 40 chars) - boolean
244,resultsSection.baselineCharacteristicsModule.measures.denomUnitsSelected,BaselineMeasureDenomUnitsSelected,N,N,Y,TEXT,N,,Type of Units Selected,,,4,resultsSection,baselineCharacteristicsModule,measures,denomUnitsSelected,,,,198.1.1.1,TEXT - text
245,resultsSection.baselineCharacteristicsModule.measures.denoms,BaselineMeasureDenom,N,Y,N,STRUCT,N,,,,,4,resultsSection,baselineCharacteristicsModule,measures,denoms,,,,198.1.1.1,STRUCT - Denom[]
246,resultsSection.baselineCharacteristicsModule.measures.denoms.units,BaselineMeasureDenomUnits,N,N,Y,TEXT,N,,Analysis Population Type,,,5,resultsSection,baselineCharacteristicsModule,measures,denoms,units,,,198.1.1.1.1,TEXT - text
247,resultsSection.baselineCharacteristicsModule.measures.denoms.counts,BaselineMeasureDenomCount,N,Y,N,STRUCT,N,,,number entered for unit of measure,,5,resultsSection,baselineCharacteristicsModule,measures,denoms,counts,,,198.1.1.1.1,STRUCT - DenomCount[]
248,resultsSection.baselineCharacteristicsModule.measures.denoms.counts.groupId,BaselineMeasureDenomCountGroupId,N,N,Y,TEXT,N,,,Internally generated ID for each Arm/Group,,6,resultsSection,baselineCharacteristicsModule,measures,denoms,counts,groupId,,198.1.1.1.1.1,TEXT - text
249,resultsSection.baselineCharacteristicsModule.measures.denoms.counts.value,BaselineMeasureDenomCountValue,N,N,Y,TEXT,N,,,,internally calculated,6,resultsSection,baselineCharacteristicsModule,measures,denoms,counts,value,,198.1.1.1.1.1,TEXT - text
250,resultsSection.baselineCharacteristicsModule.measures.classes,BaselineClass,N,Y,N,STRUCT,N,100,,Structure for a Baseline Measure ROW,Required if there is more than one row category,4,resultsSection,baselineCharacteristicsModule,measures,classes,,,,198.1.1.1,STRUCT (max 100 chars) - MeasureClass[]
251,resultsSection.baselineCharacteristicsModule.measures.classes.title,BaselineClassTitle,N,N,Y,TEXT,N,,Baseline RowTitle,,,5,resultsSection,baselineCharacteristicsModule,measures,classes,title,,,198.1.1.1.1,TEXT - text
252,resultsSection.baselineCharacteristicsModule.measures.classes.denoms,BaselineClassDenom,N,Y,N,STRUCT,N,40,,,Required,5,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,,,198.1.1.1.1,STRUCT (max 40 chars) - Denom[]
253,resultsSection.baselineCharacteristicsModule.measures.classes.denoms.units,BaselineClassDenomUnits,N,N,Y,TEXT,N,,Baseline Row Unit of Measure,"Possible analysis population when data are presented in rows (e.g., if units other than participants are included in baseline, both participants and the units are listed as BaselineClassDenomUnits for the applicable baseline measure)",,6,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,units,,198.1.1.1.1.1,TEXT - text
254,resultsSection.baselineCharacteristicsModule.measures.classes.denoms.counts,BaselineClassDenomCount,N,Y,N,STRUCT,N,,Number of Baseline Row Participants,Population Analyzed for a Row,,6,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,counts,,198.1.1.1.1.1,STRUCT - DenomCount[]
255,resultsSection.baselineCharacteristicsModule.measures.classes.denoms.counts.groupId,BaselineClassDenomCountGroupId,N,N,Y,TEXT,N,,,Internal ID per Arm/Group for a Baseline Measure,,7,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,counts,groupId,198.1.1.1.1.1.1,TEXT - text
256,resultsSection.baselineCharacteristicsModule.measures.classes.denoms.counts.value,BaselineClassDenomCountValue,N,N,Y,TEXT,N,,,Data per Arm/Group per Baseline Measure per Row,,7,resultsSection,baselineCharacteristicsModule,measures,classes,denoms,counts,value,198.1.1.1.1.1.1,TEXT - text
257,resultsSection.baselineCharacteristicsModule.measures.classes.categories,BaselineCategory,N,Y,N,STRUCT,N,50,,Categories under a Baseline Measure (represented as rows in data table),Conditionally Required,5,resultsSection,baselineCharacteristicsModule,measures,classes,categories,,,198.1.1.1.1,STRUCT (max 50 chars) - MeasureCategory[]
258,resultsSection.baselineCharacteristicsModule.measures.classes.categories.title,BaselineCategoryTitle,N,N,Y,TEXT,N,,Category Title,,Required,6,resultsSection,baselineCharacteristicsModule,measures,classes,categories,title,,198.1.1.1.1.1,TEXT - text
259,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements,BaselineMeasurement,N,Y,N,STRUCT,N,,,Data structure per Arm/Group per Category,,6,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,,198.1.1.1.1.1,STRUCT - Measurement[]
260,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.groupId,BaselineMeasurementGroupId,N,N,Y,TEXT,N,,Arm/Group ID,Internal ID per Arm/Group per Category,,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,groupId,198.1.1.1.1.1.1,TEXT - text
261,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.value,BaselineMeasurementValue,N,N,Y,TEXT,N,,data,,,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,value,198.1.1.1.1.1.1,TEXT - text
262,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.spread,BaselineMeasurementSpread,N,N,Y,TEXT,N,,data,"Data per Arm/Group per Category. Based on Measure Type and Measure of Dispersion (e.g., Standard Deviation)",,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,spread,198.1.1.1.1.1.1,TEXT - text
263,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.lowerLimit,BaselineMeasurementLowerLimit,N,N,Y,TEXT,N,,data,"Data per Arm/Group per Category. Based on Measure Type and Measure of Dispersion (e.g., lower limit of Full Range)",,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,lowerLimit,198.1.1.1.1.1.1,TEXT - text
264,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.upperLimit,BaselineMeasurementUpperLimit,N,N,Y,TEXT,N,500,data,"Data per Arm/Group per Category. Based on Measure Type and Measure of Dispersion (e.g., upper limit of Full Range)",Conditionally Required,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,upperLimit,198.1.1.1.1.1.1,TEXT (max 500 chars) - text
265,resultsSection.baselineCharacteristicsModule.measures.classes.categories.measurements.comment,BaselineMeasurementComment,N,N,Y,MARKUP,N,,Comments for N/A values,"Explain why baseline measure data are not available, if ""NA"" is reported for Baseline Measure Data.",,7,resultsSection,baselineCharacteristicsModule,measures,classes,categories,measurements,comment,198.1.1.1.1.1.1,MARKUP - markup
266,resultsSection.outcomeMeasuresModule,OutcomeMeasuresModule,N,N,N,STRUCT,N,,Outcome Measure Module,,Required,2,resultsSection,outcomeMeasuresModule,,,,,,198.1,STRUCT - OutcomeMeasuresModule
267,resultsSection.outcomeMeasuresModule.outcomeMeasures,OutcomeMeasure,N,Y,N,STRUCT,N,,Outcome Measure,,Required,3,resultsSection,outcomeMeasuresModule,outcomeMeasures,,,,,198.1.1,STRUCT - OutcomeMeasure[]
268,resultsSection.outcomeMeasuresModule.outcomeMeasures.type,OutcomeMeasureType,N,N,Y,TEXT,Y,255,Outcome Measure Type,,Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,type,,,,198.1.1.1,TEXT (max 255 chars) - OutcomeMeasureType
269,resultsSection.outcomeMeasuresModule.outcomeMeasures.title,OutcomeMeasureTitle,N,N,Y,TEXT,N,999,Outcome Measure title,,Conditionally Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,title,,,,198.1.1.1,TEXT (max 999 chars) - text
270,resultsSection.outcomeMeasuresModule.outcomeMeasures.description,OutcomeMeasureDescription,N,N,Y,MARKUP,N,500,Outcome Measure Description,,Conditionally Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,description,,,,198.1.1.1,MARKUP (max 500 chars) - markup
271,resultsSection.outcomeMeasuresModule.outcomeMeasures.populationDescription,OutcomeMeasurePopulationDescription,N,N,Y,MARKUP,N,,Analysis Population Description,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,populationDescription,,,,198.1.1.1,MARKUP - markup
272,resultsSection.outcomeMeasuresModule.outcomeMeasures.reportingStatus,OutcomeMeasureReportingStatus,N,N,Y,TEXT,Y,,Reporting Status,Whether there is Outcome Measure Data reported,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,reportingStatus,,,,198.1.1.1,TEXT - ReportingStatus
273,resultsSection.outcomeMeasuresModule.outcomeMeasures.anticipatedPostingDate,OutcomeMeasureAnticipatedPostingDate,N,N,Y,DATE,N,,Anticipated Reporting Date,,Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,anticipatedPostingDate,,,,198.1.1.1,DATE - PartialDate
274,resultsSection.outcomeMeasuresModule.outcomeMeasures.paramType,OutcomeMeasureParamType,N,N,Y,TEXT,Y,,Outcome Measure Data Type,,Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,paramType,,,,198.1.1.1,TEXT - MeasureParam
275,resultsSection.outcomeMeasuresModule.outcomeMeasures.dispersionType,OutcomeMeasureDispersionType,N,N,Y,TEXT,N,40,Outcome Measure Dispersion/Precision,,Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,dispersionType,,,,198.1.1.1,TEXT (max 40 chars) - text
276,resultsSection.outcomeMeasuresModule.outcomeMeasures.unitOfMeasure,OutcomeMeasureUnitOfMeasure,N,N,Y,TEXT,N,,Unit of Measure,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,unitOfMeasure,,,,198.1.1.1,TEXT - text
277,resultsSection.outcomeMeasuresModule.outcomeMeasures.calculatePct,OutcomeMeasureCalculatePct,N,N,Y,BOOLEAN,N,255,Calculated Percentage,percentage of OutcomeMeasurementValue/OutcomeMeasureDenomCountValue (internally calculated),Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,calculatePct,,,,198.1.1.1,BOOLEAN (max 255 chars) - boolean
278,resultsSection.outcomeMeasuresModule.outcomeMeasures.timeFrame,OutcomeMeasureTimeFrame,N,N,Y,TEXT,N,40,Outcome Measure Time Frame,,Conditionally Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,timeFrame,,,,198.1.1.1,TEXT (max 40 chars) - text
279,resultsSection.outcomeMeasuresModule.outcomeMeasures.typeUnitsAnalyzed,OutcomeMeasureTypeUnitsAnalyzed,N,N,Y,TEXT,N,,Units Analyzed,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,typeUnitsAnalyzed,,,,198.1.1.1,TEXT - text
280,resultsSection.outcomeMeasuresModule.outcomeMeasures.denomUnitsSelected,OutcomeMeasureDenomUnitsSelected,N,N,Y,TEXT,N,,,OutcomeMeasureTypeUnitsAnalyzed,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,denomUnitsSelected,,,,198.1.1.1,TEXT - text
281,resultsSection.outcomeMeasuresModule.outcomeMeasures.groups,OutcomeGroup,N,Y,N,STRUCT,N,,,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,groups,,,,198.1.1.1,STRUCT - MeasureGroup[]
282,resultsSection.outcomeMeasuresModule.outcomeMeasures.groups.id,OutcomeGroupId,N,N,Y,TEXT,N,,,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,groups,id,,,198.1.1.1.1,TEXT - text
283,resultsSection.outcomeMeasuresModule.outcomeMeasures.groups.title,OutcomeGroupTitle,N,N,Y,TEXT,N,,,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,groups,title,,,198.1.1.1.1,TEXT - text
284,resultsSection.outcomeMeasuresModule.outcomeMeasures.groups.description,OutcomeGroupDescription,N,N,Y,MARKUP,N,,,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,groups,description,,,198.1.1.1.1,MARKUP - markup
285,resultsSection.outcomeMeasuresModule.outcomeMeasures.denoms,OutcomeDenom,N,Y,N,STRUCT,N,,,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,denoms,,,,198.1.1.1,STRUCT - Denom[]
286,resultsSection.outcomeMeasuresModule.outcomeMeasures.denoms.units,OutcomeDenomUnits,N,N,Y,TEXT,N,,,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,denoms,units,,,198.1.1.1.1,TEXT - text
287,resultsSection.outcomeMeasuresModule.outcomeMeasures.denoms.counts,OutcomeDenomCount,N,Y,N,STRUCT,N,,,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,denoms,counts,,,198.1.1.1.1,STRUCT - DenomCount[]
288,resultsSection.outcomeMeasuresModule.outcomeMeasures.denoms.counts.groupId,OutcomeDenomCountGroupId,N,N,Y,TEXT,N,,,,,6,resultsSection,outcomeMeasuresModule,outcomeMeasures,denoms,counts,groupId,,198.1.1.1.1.1,TEXT - text
289,resultsSection.outcomeMeasuresModule.outcomeMeasures.denoms.counts.value,OutcomeDenomCountValue,N,N,Y,TEXT,N,,,,,6,resultsSection,outcomeMeasuresModule,outcomeMeasures,denoms,counts,value,,198.1.1.1.1.1,TEXT - text
290,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes,OutcomeClass,N,Y,N,STRUCT,N,,,,,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,,,,198.1.1.1,STRUCT - MeasureClass[]
291,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.title,OutcomeClassTitle,N,N,Y,TEXT,N,,,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,title,,,198.1.1.1.1,TEXT - text
292,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.denoms,OutcomeClassDenom,N,Y,N,STRUCT,N,,,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,denoms,,,198.1.1.1.1,STRUCT - Denom[]
293,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.denoms.units,OutcomeClassDenomUnits,N,N,Y,TEXT,N,,,,,6,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,denoms,units,,198.1.1.1.1.1,TEXT - text
294,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.denoms.counts,OutcomeClassDenomCount,N,Y,N,STRUCT,N,,,,,6,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,denoms,counts,,198.1.1.1.1.1,STRUCT - DenomCount[]
295,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.denoms.counts.groupId,OutcomeClassDenomCountGroupId,N,N,Y,TEXT,N,,,,,7,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,denoms,counts,groupId,198.1.1.1.1.1.1,TEXT - text
296,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.denoms.counts.value,OutcomeClassDenomCountValue,N,N,Y,TEXT,N,,,,,7,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,denoms,counts,value,198.1.1.1.1.1.1,TEXT - text
297,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories,OutcomeCategory,N,Y,N,STRUCT,N,,Outcome Category,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,,,198.1.1.1.1,STRUCT - MeasureCategory[]
298,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories.title,OutcomeCategoryTitle,N,N,Y,TEXT,N,,Category Title,,,6,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,title,,198.1.1.1.1.1,TEXT - text
299,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories.measurements,OutcomeMeasurement,N,Y,N,STRUCT,N,,,,,6,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,measurements,,198.1.1.1.1.1,STRUCT - Measurement[]
300,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories.measurements.groupId,OutcomeMeasurementGroupId,N,N,Y,TEXT,N,,Group ID,,,7,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,measurements,groupId,198.1.1.1.1.1.1,TEXT - text
301,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories.measurements.value,OutcomeMeasurementValue,N,N,Y,TEXT,N,,data,,,7,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,measurements,value,198.1.1.1.1.1.1,TEXT - text
302,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories.measurements.spread,OutcomeMeasurementSpread,N,N,Y,TEXT,N,,data,,,7,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,measurements,spread,198.1.1.1.1.1.1,TEXT - text
303,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories.measurements.lowerLimit,OutcomeMeasurementLowerLimit,N,N,Y,TEXT,N,,data,,,7,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,measurements,lowerLimit,198.1.1.1.1.1.1,TEXT - text
304,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories.measurements.upperLimit,OutcomeMeasurementUpperLimit,N,N,Y,TEXT,N,,data,,,7,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,measurements,upperLimit,198.1.1.1.1.1.1,TEXT - text
305,resultsSection.outcomeMeasuresModule.outcomeMeasures.classes.categories.measurements.comment,OutcomeMeasurementComment,N,N,Y,MARKUP,N,,Comments for N/A values,,,7,resultsSection,outcomeMeasuresModule,outcomeMeasures,classes,categories,measurements,comment,198.1.1.1.1.1.1,MARKUP - markup
306,resultsSection.outcomeMeasuresModule.outcomeMeasures.analyses,OutcomeAnalysis,N,Y,N,STRUCT,N,40,Outcome Measure Analysis,"Result(s) of scientifically appropriate tests of statistical significance of the primary and secondary outcome measures, if any. Such analyses include: pre-specified in the protocol and/or statistical analysis plan; made public by the sponsor or responsible party; conducted on a primary outcome measure in response to a request made by FDA.
 If a statistical analysis is reported ""Comparison Group Selection"" and ""Type of Statistical Test"" are required. In addition, one of the following data elements are required with the associated information: ""P-Value,"" ""Estimation Parameter,"" or ""Other Statistical Analysis.""",Conditionally Required,4,resultsSection,outcomeMeasuresModule,outcomeMeasures,analyses,,,,198.1.1.1,STRUCT (max 40 chars) - MeasureAnalysis[]
307,resultsSection.outcomeMeasuresModule.outcomeMeasures.analyses.paramType,OutcomeAnalysisParamType,N,N,Y,TEXT,N,,Estimation Parameter,,Conditionally Required,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,analyses,paramType,,,198.1.1.1.1,TEXT - text
308,resultsSection.outcomeMeasuresModule.outcomeMeasures.analyses.paramValue,OutcomeAnalysisParamValue,N,N,Y,TEXT,N,,Estimated Value,,,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,analyses,paramValue,,,198.1.1.1.1,TEXT - text
309,resultsSection.outcomeMeasuresModule.outcomeMeasures.analyses.dispersionType,OutcomeAnalysisDispersionType,N,N,Y,TEXT,Y,,Estimation Dispersion Type,,Conditionally Required,5,resultsSection,outcomeMeasuresModule,outcomeMeasures,analyses,dispersionType,,,198.1.1.1.1,TEXT - AnalysisDispersionType
